categoria,titulo,ano,url,arquivo
romance,Ressurreição,1872,https://machado.mec.gov.br/obra-completa-lista/item/download/20_f90feea4579f3d4964f49e34dc473155,pdf/romance/1872_ressurreicao.pdf
romance,A Mão e a Luva,1874,https://machado.mec.gov.br/obra-completa-lista/item/download/19_1006816573c7bf6d28489b791e9981c0,pdf/romance/1874_a_mao_e_a_luva.pdf
romance,Helena,1876,https://machado.mec.gov.br/obra-completa-lista/item/download/18_6eeff49614c4b3fcfa0adbd92c8cdb28,pdf/romance/1876_helena.pdf
romance,Iaiá Garcia,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/17_bff5cb6c81c213a22c492d69505ac411,pdf/romance/1878_iaia_garcia.pdf
romance,Memórias Póstumas de Brás Cubas,1881,https://machado.mec.gov.br/obra-completa-lista/item/download/16_ff646a924421ea897f27cf6d21e6bb23,pdf/romance/1881_memorias_postumas_de_bras_cubas.pdf
romance,Casa Velha,1885,https://machado.mec.gov.br/obra-completa-lista/item/download/15_43f943e1c8b9aaf756af3875d8561a10,pdf/romance/1885_casa_velha.pdf
romance,Quincas Borba,1891,https://machado.mec.gov.br/obra-completa-lista/item/download/14_7bbc6c42393beeac1fd963c16d935f40,pdf/romance/1891_quincas_borba.pdf
romance,Dom Casmurro,1899,https://machado.mec.gov.br/obra-completa-lista/item/download/13_7101e1a36cda79f6c97341757dcc4d04,pdf/romance/1899_dom_casmurro.pdf
romance,Esaú e Jacó,1904,https://machado.mec.gov.br/obra-completa-lista/item/download/12_ab2c739d2e8293712078e7b6b0c12abb,pdf/romance/1904_esau_e_jaco.pdf
romance,Memorial de Aires,1908,https://machado.mec.gov.br/obra-completa-lista/item/download/10_3b418d3289f560235fccf338378de5bf,pdf/romance/1908_memorial_de_aires.pdf
conto,Contos Fluminenses,1870,https://machado.mec.gov.br/obra-completa-lista/item/download/31_15b64419a44a2b6ba9781ae001275ae8,pdf/conto/1870_contos_fluminenses.pdf
conto,Histórias da meia-noite,1873,https://machado.mec.gov.br/obra-completa-lista/item/download/30_8e623caa384980ca20f48a66e691074f,pdf/conto/1873_historias_da_meia_noite.pdf
conto,Papéis avulsos,1882,https://machado.mec.gov.br/obra-completa-lista/item/download/29_008edfdf58623bb13d27157722a7281e,pdf/conto/1882_papeis_avulsos.pdf
conto,Histórias sem data,1884,https://machado.mec.gov.br/obra-completa-lista/item/download/28_b10fd1f9a75bcaa4573e55e677660131,pdf/conto/1884_historias_sem_data.pdf
conto,Várias histórias,1896,https://machado.mec.gov.br/obra-completa-lista/item/download/26_29eaa69154e158508ef8374fcb50937a,pdf/conto/1896_varias_historias.pdf
conto,Páginas recolhidas,1899,https://machado.mec.gov.br/obra-completa-lista/item/download/25_fcddef9a9bd325ad2003c64f4f4eb884,pdf/conto/1899_paginas_recolhidas.pdf
